ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.846216967,1.846160061
16,33554432,536870912,1.718783991,1.718783228
32,16777216,536870912,1.814757599,1.814756444
64,8388608,536870912,1.751125730,1.751123749
128,4194304,536870912,1.711147075,1.711142021
256,2097152,536870912,1.669690692,1.669682773
512,1048576,536870912,1.624051987,1.624036818
1024,524288,536870912,1.617564545,1.617533272
2048,262144,536870912,1.616070855,1.616010370
4096,131072,536870912,1.619450862,1.619328633
8192,65536,536870912,1.614776019,1.614530620
16384,32768,536870912,1.622014323,1.621495717
32768,16384,536870912,1.617708530,1.616599813
65536,8192,536870912,1.615275115,1.613128778
131072,4096,536870912,1.617585762,1.613267641
262144,2048,536870912,1.658189032,1.649511266
524288,1024,536870912,1.657210348,1.641125765
1048576,512,536870912,1.875265631,1.843650123
2097152,256,536870912,1.800480935,1.737921304
4194304,128,536870912,1.862451449,1.737653987
8388608,64,536870912,1.985642376,1.736512643
16777216,32,536870912,2.240800362,1.742906427
33554432,16,536870912,2.733163471,1.737561582
67108864,8,536870912,3.839064104,1.815727108
134217728,4,536870912,5.898655905,1.785594862
268435456,2,536870912,10.119885072,1.842217765
536870912,1,536870912,18.543232322,1.998956020
