ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.014458671,1.014457786
16,33554432,536870912,0.933795219,0.933793778
32,16777216,536870912,0.960436025,0.960434178
64,8388608,536870912,0.856564631,0.856557898
128,4194304,536870912,0.801273802,0.801265620
256,2097152,536870912,0.712311191,0.712297449
512,1048576,536870912,0.677714620,0.677692372
1024,524288,536870912,0.665857253,0.665813830
2048,262144,536870912,0.657896095,0.657811816
4096,131072,536870912,0.640633010,0.640471275
8192,65536,536870912,0.641472366,0.641155299
16384,32768,536870912,0.641877775,0.641227424
32768,16384,536870912,0.643971651,0.642621949
65536,8192,536870912,0.649735531,0.646946097
131072,4096,536870912,0.655790618,0.650541162
262144,2048,536870912,0.665763614,0.655185495
524288,1024,536870912,0.717520363,0.696534506
1048576,512,536870912,0.835614904,0.792876610
2097152,256,536870912,1.068133008,0.981674605
4194304,128,536870912,1.213815422,1.041281611
8388608,64,536870912,1.423603544,1.075969724
16777216,32,536870912,1.793188307,1.093967084
33554432,16,536870912,2.489693081,1.091349335
67108864,8,536870912,3.873846796,1.092265269
134217728,4,536870912,6.661915466,1.075194802
268435456,2,536870912,12.220737058,1.079845075
536870912,1,536870912,73.455181848,50.699687711
