ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.834938678,0.834937746
16,33554432,536870912,0.848143191,0.848141774
32,16777216,536870912,0.757699992,0.757697958
64,8388608,536870912,0.673816577,0.673810203
128,4194304,536870912,0.643823987,0.643815484
256,2097152,536870912,0.571751312,0.571737396
512,1048576,536870912,0.554969062,0.554945242
1024,524288,536870912,0.554304339,0.554261465
2048,262144,536870912,0.549065219,0.548982201
4096,131072,536870912,0.551212750,0.551043304
8192,65536,536870912,0.548290632,0.547959866
16384,32768,536870912,0.530042769,0.529364619
32768,16384,536870912,0.529903193,0.528542387
65536,8192,536870912,0.532195652,0.529451625
131072,4096,536870912,0.547849152,0.542414408
262144,2048,536870912,0.553482196,0.542565698
524288,1024,536870912,0.601112244,0.578405233
1048576,512,536870912,0.741247808,0.695218179
2097152,256,536870912,0.888298720,0.792693910
4194304,128,536870912,1.074889334,0.897126090
8388608,64,536870912,1.264433588,0.906647808
16777216,32,536870912,1.637424199,0.922749652
33554432,16,536870912,2.347950096,0.907114090
67108864,8,536870912,3.818525532,0.923351920
134217728,4,536870912,6.718983745,0.908949049
268435456,2,536870912,12.152185494,0.963519346
536870912,1,536870912,59.380115266,36.439578222
