ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.696919182,0.696918076
16,33554432,536870912,0.709837520,0.709836218
32,16777216,536870912,0.769008894,0.769006919
64,8388608,536870912,0.757459776,0.757452914
128,4194304,536870912,0.753166969,0.753158123
256,2097152,536870912,0.481039352,0.481024714
512,1048576,536870912,0.434138684,0.434116852
1024,524288,536870912,0.437059351,0.437016791
2048,262144,536870912,0.392667404,0.392579189
4096,131072,536870912,0.426818457,0.426635980
8192,65536,536870912,0.414414186,0.414050833
16384,32768,536870912,0.400070761,0.399360501
32768,16384,536870912,0.405191987,0.403727256
65536,8192,536870912,0.414891514,0.412076956
131072,4096,536870912,0.418028806,0.412324953
262144,2048,536870912,0.415553280,0.404158303
524288,1024,536870912,0.437137381,0.414453588
1048576,512,536870912,0.585057955,0.538675178
2097152,256,536870912,0.724077694,0.631261602
4194304,128,536870912,0.924296525,0.738667227
8388608,64,536870912,1.289311565,0.917737525
16777216,32,536870912,1.584695365,0.836499673
33554432,16,536870912,2.374465380,0.913268189
67108864,8,536870912,3.916180109,0.947794280
134217728,4,536870912,6.794944723,0.846492926
268435456,2,536870912,25.663022328,13.329123815
536870912,1,536870912,65.962497335,39.385805697
