=== Run 1/5 ===
Np-ProblemSize, RUNS, TotalParticles, E2ETime, AlgoTime
8, 67108864, 536870912, 6.956184460, 6.956183468
16, 33554432, 536870912, 6.778960556, 6.778959153
32, 16777216, 536870912, 6.174656854, 6.174654905
64, 8388608, 536870912, 6.062334813, 6.062328803
128, 4194304, 536870912, 6.128010445, 6.128000686
256, 2097152, 536870912, 6.011034230, 6.011021092
512, 1048576, 536870912, 5.998136678, 5.998114051
1024, 524288, 536870912, 6.012601793, 6.012560281
2048, 262144, 536870912, 6.055462958, 6.055374202
4096, 131072, 536870912, 6.121031355, 6.120869733
8192, 65536, 536870912, 6.026537902, 6.026228345
16384, 32768, 536870912, 6.011209415, 6.010575497
32768, 16384, 536870912, 6.033700107, 6.032399024
65536, 8192, 536870912, 6.013849471, 6.011259533
131072, 4096, 536870912, 6.012968554, 6.007777664
262144, 2048, 536870912, 6.020830881, 6.010370044
524288, 1024, 536870912, 6.032588061, 6.011763186
1048576, 512, 536870912, 6.067848554, 6.025852479
2097152, 256, 536870912, 6.104916202, 6.020218280
4194304, 128, 536870912, 6.184545996, 6.015466781
8388608, 64, 536870912, 6.433731708, 6.094615561
16777216, 32, 536870912, 6.730304720, 6.046996257
33554432, 16, 536870912, 7.459916703, 6.091795295
67108864, 8, 536870912, 8.972808943, 6.143081546
134217728, 4, 536870912, 11.681131406, 6.036171181
268435456, 2, 536870912, 16.889606888, 6.010503457
536870912, 1, 536870912, 49.845763843, 27.123156000

=== Run 2/5 ===
Np-ProblemSize, RUNS, TotalParticles, E2ETime, AlgoTime
8, 67108864, 536870912, 6.842924991, 6.842924129
16, 33554432, 536870912, 6.651673810, 6.651672454
32, 16777216, 536870912, 6.132973926, 6.132972100
64, 8388608, 536870912, 6.016514282, 6.016507538
128, 4194304, 536870912, 6.003019830, 6.003012173
256, 2097152, 536870912, 5.968665645, 5.968650663
512, 1048576, 536870912, 5.958796646, 5.958775061
1024, 524288, 536870912, 6.017897381, 6.017850203
2048, 262144, 536870912, 6.018449319, 6.018368918
4096, 131072, 536870912, 6.098897789, 6.098734403
8192, 65536, 536870912, 6.042631374, 6.042319285
16384, 32768, 536870912, 5.996198928, 5.995556187
32768, 16384, 536870912, 6.000777253, 5.999464065
65536, 8192, 536870912, 5.995440318, 5.992821113
131072, 4096, 536870912, 6.039622278, 6.034360190
262144, 2048, 536870912, 6.008495381, 5.998008394
524288, 1024, 536870912, 6.040106110, 6.019046044
1048576, 512, 536870912, 6.048077756, 6.005768807
2097152, 256, 536870912, 6.092591390, 6.007349881
4194304, 128, 536870912, 6.177515749, 6.006443752
8388608, 64, 536870912, 6.344558201, 6.002065856
16777216, 32, 536870912, 6.701095113, 6.015471355
33554432, 16, 536870912, 7.382622607, 6.010040499
67108864, 8, 536870912, 8.773320610, 6.043966321
134217728, 4, 536870912, 11.459947895, 6.008238711
268435456, 2, 536870912, 16.881631714, 6.014204236
536870912, 1, 536870912, 41.579753092, 19.285315558

=== Run 3/5 ===
Np-ProblemSize, RUNS, TotalParticles, E2ETime, AlgoTime
8, 67108864, 536870912, 6.894582417, 6.894581616
16, 33554432, 536870912, 6.644853822, 6.644852596
32, 16777216, 536870912, 6.153013351, 6.153011457
64, 8388608, 536870912, 6.026685524, 6.026677828
128, 4194304, 536870912, 5.966761981, 5.966753486
256, 2097152, 536870912, 5.966203248, 5.966189583
512, 1048576, 536870912, 5.950310909, 5.950286107
1024, 524288, 536870912, 6.027952163, 6.027910111
2048, 262144, 536870912, 6.374749778, 6.374658228
4096, 131072, 536870912, 6.108784425, 6.108619710
8192, 65536, 536870912, 6.052113636, 6.051793416
16384, 32768, 536870912, 6.005252173, 6.004594348
32768, 16384, 536870912, 6.004960535, 6.003614526
65536, 8192, 536870912, 6.085666901, 6.082959885
131072, 4096, 536870912, 6.033176623, 6.027781328
262144, 2048, 536870912, 6.020898003, 6.010044145
524288, 1024, 536870912, 6.023029553, 6.000232540
1048576, 512, 536870912, 6.092926633, 6.047774150
2097152, 256, 536870912, 6.108397739, 6.020347709
4194304, 128, 536870912, 6.190668101, 6.011972207
8388608, 64, 536870912, 6.364501310, 6.011347731
16777216, 32, 536870912, 6.724656490, 6.012772975
33554432, 16, 536870912, 7.426057578, 6.014083978
67108864, 8, 536870912, 8.870030094, 6.026407230
134217728, 4, 536870912, 11.632836085, 6.003179679
268435456, 2, 536870912, 17.901526155, 6.356442707
536870912, 1, 536870912, 45.090959687, 21.423711072
