ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.700325659,0.700324673
16,33554432,536870912,0.797553197,0.797551878
32,16777216,536870912,0.829355192,0.829353037
64,8388608,536870912,0.695888030,0.695879349
128,4194304,536870912,0.658961021,0.658951627
256,2097152,536870912,0.442090640,0.442074890
512,1048576,536870912,0.457571316,0.457548493
1024,524288,536870912,0.448651051,0.448606065
2048,262144,536870912,0.505820387,0.505733189
4096,131072,536870912,0.528406522,0.528233682
8192,65536,536870912,0.490460268,0.490125050
16384,32768,536870912,0.455977867,0.455286666
32768,16384,536870912,0.443191197,0.441794234
65536,8192,536870912,0.444875059,0.442074490
131072,4096,536870912,0.449754132,0.443969360
262144,2048,536870912,0.453697279,0.442220885
524288,1024,536870912,0.496720180,0.473816866
1048576,512,536870912,0.623520754,0.578248465
2097152,256,536870912,0.930519849,0.839124292
4194304,128,536870912,0.978246012,0.789756898
8388608,64,536870912,1.304548167,0.938913323
16777216,32,536870912,1.662833573,0.933619110
33554432,16,536870912,2.329956773,0.855452532
67108864,8,536870912,3.838917198,0.879742641
134217728,4,536870912,12.491136045,6.311045627
268435456,2,536870912,20.458477926,7.822834576
536870912,1,536870912,67.670163929,40.703963519
