

LABPC:

NX      NY      Points          Interp_Time
------------------------------------------------------
250     100     100             0.000007
250     100     10000           0.000087
250     100     1000000         0.009002
250     100     100000000       0.794633
250     100     1000000000      13.231631
500     200     100             0.000011
500     200     10000           0.000091
500     200     1000000         0.008378
500     200     100000000       0.817069
500     200     1000000000      12.728430
1000    400     100             0.000001
1000    400     10000           0.000128
1000    400     1000000         0.013919
1000    400     100000000       1.340099
1000    400     1000000000      18.896347

CLUSTER:


NX	NY	Points		Interp_Time
------------------------------------------------------
250	 100   100		0.000000
250	 100   10000		0.000000
250	 100   1000000	0.023000
250	 100   100000000	2.307000
250	 100   1000000000	23.538000
500	 200   100		0.000000
500	 200   10000		0.000000
500	 200   1000000	0.025000
500	 200   100000000	2.706000
500	 200   1000000000	27.253000
1000 400   100		0.000000
1000 400   10000		0.000000
1000 400   1000000	0.025000
1000 400   100000000	2.749000
1000 400   1000000000	25.465000
