Serial:
LABPC:
Iter    Interp          Mover           Total
1       0.192173        0.186233        0.378406
2       0.187529        0.188366        0.375895
3       0.189098        0.184070        0.373168
4       0.191894        0.186577        0.378471
5       0.194929        0.184252        0.379181
6       0.190676        0.181322        0.371998
7       0.187686        0.185218        0.372904
8       0.189165        0.183220        0.372385
9       0.186298        0.183190        0.369488
10      0.191415        0.179378        0.370793


CLUSTER:

Iter	Interp		Mover		Total
1	0.340000	0.270000	0.610000
2	0.340000	0.270000	0.610000
3	0.340000	0.270000	0.610000
4	0.340000	0.270000	0.610000
5	0.340000	0.270000	0.610000
6	0.340000	0.270000	0.610000
7	0.340000	0.270000	0.610000
8	0.340000	0.270000	0.610000
9	0.340000	0.270000	0.610000
10	0.340000	0.270000	0.610000

Parallel:
LABPC New
Iter    Interp          Mover           Total
1       0.192522        0.125006        0.317528
2       0.148355        0.134066        0.282421
3       0.145439        0.128675        0.274114
4       0.151443        0.136919        0.288362
5       0.148868        0.135561        0.284429
6       0.144983        0.135297        0.280280
7       0.147192        0.127517        0.274709
8       0.152034        0.135447        0.287481
9       0.149146        0.132840        0.281986
10      0.155696        0.135303        0.290999

Cluster:
Iter	Interp		Mover		Total
1	0.180000	0.170000	0.350000
2	0.110000	0.150000	0.260000
3	0.100000	0.150000	0.250000
4	0.110000	0.140000	0.250000
5	0.110000	0.140000	0.250000
6	0.100000	0.140000	0.240000
7	0.110000	0.140000	0.250000
8	0.110000	0.130000	0.240000
9	0.110000	0.130000	0.240000
10	0.110000	0.130000	0.240000
