Lab PC N=2,4,8,16
1000 400 14000000 0.998880
1000 400 14000000 0.582416
1000 400 14000000 0.628360
1000 400 14000000 0.752118

500 200 20000000 0.853210
500 200 20000000 0.480148
500 200 20000000 0.477862
500 200 20000000 0.420658

500 200 3600000 0.191015
500 200 3600000 0.111415
500 200 3600000 0.127686
500 200 3600000 0.110654

250 100 5000000 0.212619
250 100 5000000 0.126632
250 100 5000000 0.116497 
250 100 5000000 0.104700

250 100 900000 0.045570
250 100 900000 0.029656
250 100 900000 0.030152
250 100 900000 0.030809
